auto_name,param,required,default_kind,default_scalar,default_obj_id,kind
AutoPatchTST,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoPatchTST,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoPatchTST,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoPatchTST,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoPatchTST,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoPatchTST,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoPatchTST,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoPatchTST,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoPatchTST,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoRMoK,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoRMoK,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoRMoK,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoRMoK,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoRMoK,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoRMoK,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoRMoK,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoRMoK,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoRMoK,n_series,True,empty,,,POSITIONAL_OR_KEYWORD
AutoRMoK,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoRMoK,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoRMoK,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoRMoK,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoRMoK,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoRNN,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoRNN,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoRNN,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoRNN,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoRNN,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoRNN,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoRNN,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoRNN,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoRNN,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoRNN,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoRNN,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoRNN,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoRNN,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoSOFTS,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoSOFTS,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoSOFTS,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoSOFTS,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoSOFTS,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoSOFTS,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoSOFTS,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoSOFTS,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoSOFTS,n_series,True,empty,,,POSITIONAL_OR_KEYWORD
AutoSOFTS,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoSOFTS,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoSOFTS,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoSOFTS,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoSOFTS,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoStemGNN,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoStemGNN,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoStemGNN,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoStemGNN,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoStemGNN,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoStemGNN,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
